タイトル	名詞,*,*,*,*,タイトル,タイトル
は	助詞,係助詞,*,*,*,は,ワ
ミレニアム	名詞,*,*,*,*,ミレニアム,ミレニアム
旅行	名詞,*,*,*,*,旅行,リョコー
です	助動詞,*,*,終止形,*,です,デス
EOS
あたし	名詞,代名詞,*,*,*,私,アタシ
の	助詞,格助詞,*,*,*,の,ノ
一番	副詞,*,*,*,*,一番,イチバン
最近	名詞,*,*,*,*,最近,サイキン
の	助詞,格助詞,*,*,*,の,ノ
楽しかっ	形容詞,*,促音便,連用形,形容詞型,楽しい,タノシカッ
た	助動詞,*,*,連体形,*,た,タ
こと	名詞,*,*,*,*,事,コト
って	助詞,副助詞,*,*,*,って,ッテ
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
の	助詞,準体助詞,*,*,*,の,ノ
は	助詞,係助詞,*,*,*,は,ワ
去年	名詞,*,*,*,*,去年,キョネン
の	助詞,格助詞,*,*,*,の,ノ
年末	名詞,*,*,*,*,年末,ネンマツ
から	助詞,格助詞,*,*,*,から,カラ
今年	名詞,*,*,*,*,今年,コトシ
の	助詞,格助詞,*,*,*,の,ノ
年始	名詞,*,*,*,*,年始,ネンシ
に	助詞,格助詞,*,*,*,に,ニ
かけ	動詞,*,*,連用形,カ行下一段,掛ける,カケ
て	助詞,接続助詞,*,*,*,て,テ
サンフランシスコ	名詞,固有名詞,*,*,*,サンフランシスコ,サンフランシスコ
と	助詞,格助詞,*,*,*,と,ト
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
に	助詞,格助詞,*,*,*,に,ニ
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
て	助詞,接続助詞,*,*,*,て,テ
き	動詞,*,*,連用形,カ行変格,来る,キ
た	助動詞,*,*,連体形,*,た,タ
こと	名詞,*,*,*,*,事,コト
です	助動詞,*,*,終止形,*,です,デス
EOS
卒論	名詞,*,*,*,*,卒論,ソツロン
の	助詞,格助詞,*,*,*,の,ノ
提出	名詞,*,*,*,*,提出,テーシュツ
が	助詞,格助詞,*,*,*,が,ガ
十	名詞,数詞,*,*,*,十,ジュー
二	名詞,数詞,*,*,*,二,ニ
月	名詞,接尾辞,*,*,*,月,ガツ
の	助詞,格助詞,*,*,*,の,ノ
十	名詞,数詞,*,*,*,十,ジュー
五	名詞,数詞,*,*,*,五,ゴ
日	名詞,接尾辞,*,*,*,日,ニチ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
その	連体詞,*,*,*,*,其の,ソノ
次	名詞,*,*,*,*,次,ツギ
の	助詞,格助詞,*,*,*,の,ノ
日	名詞,*,*,*,*,日,ヒ
EOS
十	名詞,数詞,*,*,*,十,ジュー
二	名詞,数詞,*,*,*,二,ニ
月	名詞,接尾辞,*,*,*,月,ガツ
の	助詞,格助詞,*,*,*,の,ノ
十	名詞,数詞,*,*,*,十,ジュー
六	名詞,数詞,*,*,*,六,ロク
日	名詞,接尾辞,*,*,*,日,ニチ
から	助詞,格助詞,*,*,*,から,カラ
二千	名詞,数詞,*,*,*,二千,ニセン
年	名詞,接尾辞,*,*,*,年,ネン
の	助詞,格助詞,*,*,*,の,ノ
一	名詞,数詞,*,*,*,一,イチ
月	名詞,接尾辞,*,*,*,月,ガツ
七	名詞,数詞,*,*,*,七,ナノ
日	名詞,接尾辞,*,*,*,日,カ
まで	助詞,副助詞,*,*,*,まで,マデ
の	助詞,格助詞,*,*,*,の,ノ
二十	名詞,数詞,*,*,*,二十,ニジュー
一	名詞,数詞,*,*,*,一,イチ
日間	名詞,接尾辞,*,*,*,日間,ニチカン
EOS
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
て	助詞,接続助詞,*,*,*,て,テ
き	動詞,*,*,連用形,カ行変格,来る,キ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
ある	連体詞,*,*,*,*,或る,アル
航空	名詞,*,*,*,*,航空,コークー
会社	名詞,*,*,*,*,会社,ガイシャ
の	助詞,格助詞,*,*,*,の,ノ
四	名詞,数詞,*,*,*,四,ヨン
都市	名詞,*,*,*,*,都市,トシ
周遊	名詞,*,*,*,*,周遊,シューユー
パスポート	名詞,*,*,*,*,パスポート,パスポート
と	助詞,格助詞,*,*,*,と,ト
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
の	助詞,準体助詞,*,*,*,の,ノ
が	助詞,格助詞,*,*,*,が,ガ
あっ	動詞,*,促音便,連用形,ラ行五段,有る,アッ
て	助詞,接続助詞,*,*,*,て,テ
EOS
で	接続詞,*,*,*,*,で,デ
あたし	名詞,代名詞,*,*,*,私,アタシ
は	助詞,係助詞,*,*,*,は,ワ
日本	名詞,固有名詞,*,*,*,日本,ニホン
サンフランシスコ	名詞,固有名詞,*,*,*,サンフランシスコ,サンフランシスコ
EOS
て	助詞,副助詞,*,*,*,って,テ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
に	助詞,格助詞,*,*,*,に,ニ
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
て	助詞,接続助詞,*,*,*,て,テ
また	接続詞,*,*,*,*,又,マタ
サンフランシスコ	名詞,固有名詞,*,*,*,サンフランシスコ,サンフランシスコ
に	助詞,格助詞,*,*,*,に,ニ
戻っ	動詞,*,促音便,連用形,ラ行五段,戻る,モドッ
て	助詞,接続助詞,*,*,*,て,テ
EOS
で	接続詞,*,*,*,*,で,デ
日本	名詞,固有名詞,*,*,*,日本,ニホン
に	助詞,格助詞,*,*,*,に,ニ
帰っ	動詞,*,促音便,連用形,ラ行五段,帰る,カエッ
て	助詞,接続助詞,*,*,*,て,テ
き	動詞,*,*,連用形,カ行変格,来る,キ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
その	連体詞,*,*,*,*,其の,ソノ
全部	名詞,*,*,*,*,全部,ゼンブ
の	助詞,格助詞,*,*,*,の,ノ
チケット	名詞,*,*,*,*,チケット,チケット
が	助詞,格助詞,*,*,*,が,ガ
六	名詞,数詞,*,*,*,六,ロク
万	名詞,数詞,*,*,*,万,マン
二千	名詞,数詞,*,*,*,二千,ニセン
円	名詞,接尾辞,*,*,*,円,エン
ぐらい	助詞,副助詞,*,*,*,くらい,グライ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
凄い	形容詞,*,*,連体形,形容詞型,凄い,スゴイ
激安	名詞,*,*,*,*,激安,ゲキヤス
な	助動詞,*,*,連体形,*,だ,ナ
旅行	名詞,*,*,*,*,旅行,リョコー
でし	助動詞,*,*,連用形,*,です,デシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
更に	接続詞,*,*,*,*,更に,サラニ
サンフランシスコ	名詞,固有名詞,*,*,*,サンフランシスコ,サンフランシスコ
も	助詞,副助詞,*,*,*,も,モ
ラスベガス	名詞,固有名詞,*,*,*,ラスベガス,ラスベガス
も	助詞,副助詞,*,*,*,も,モ
EOS
あたし	名詞,代名詞,*,*,*,私,アタシ
の	助詞,格助詞,*,*,*,の,ノ
高校	名詞,*,*,*,*,高校,コーコー
の	助詞,格助詞,*,*,*,の,ノ
時	名詞,*,*,*,*,時,トキ
の	助詞,格助詞,*,*,*,の,ノ
友達	名詞,*,*,*,*,友達,トモダチ
が	助詞,格助詞,*,*,*,が,ガ
留学	名詞,*,*,*,*,留学,リューガク
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助詞,接続助詞,*,*,*,て,テ
いる	動詞,*,*,連体形,ア行上一段,居る,イル
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
滞在	名詞,*,*,*,*,滞在,タイザイ
費	名詞,接尾辞,*,*,*,費,ヒ
が	助詞,格助詞,*,*,*,が,ガ
ただ	接続詞,*,*,*,*,唯,タダ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
こと	名詞,*,*,*,*,事,コト
も	助詞,副助詞,*,*,*,も,モ
あっ	動詞,*,促音便,連用形,ラ行五段,有る,アッ
て	助詞,接続助詞,*,*,*,て,テ
そん	名詞,代名詞,*,*,*,其れ,ソン
だけ	助詞,副助詞,*,*,*,だけ,ダケ
長く	形容詞,*,*,連用形,形容詞型,長い,ナガク
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
てこ	助動詞,*,*,未然形,*,てく,テコ
れ	助動詞,*,*,連用形,*,れる,レ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
サンフランシスコ	名詞,固有名詞,*,*,*,サンフランシスコ,サンフランシスコ
って	助詞,副助詞,*,*,*,って,ッテ
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
の	助詞,準体助詞,*,*,*,の,ノ
は	助詞,係助詞,*,*,*,は,ワ
今	名詞,*,*,*,*,今,イマ
まで	助詞,副助詞,*,*,*,まで,マデ
EOS
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
た	助動詞,*,*,連体形,*,た,タ
こと	名詞,*,*,*,*,事,コト
が	助詞,格助詞,*,*,*,が,ガ
なかっ	形容詞,*,促音便,連用形,形容詞型,無い,ナカッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
大	接頭辞,*,*,*,*,大,ダイ
都市	名詞,*,*,*,*,都市,トシ
って	助詞,副助詞,*,*,*,って,ッテ
イメージ	名詞,*,*,*,*,イメージ,イメージ
が	助詞,格助詞,*,*,*,が,ガ
あっ	動詞,*,促音便,連用形,ラ行五段,有る,アッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けど	助詞,接続助詞,*,*,*,けれど,ケド
EOS
